City,Country,Lat,Lng,Temperature (°F),Humidity,Wind Speed,Cloudiness
Mago,RU,53.27,140.15,32.97,82,3.15,36
Rikitea,PF,-23.12,-134.97,77.25,100,5.5,0
Cape Town,ZA,-33.93,18.42,64.99,93,12.75,0
Mar del Plata,AR,-46.43,-67.52,49.44,100,9.42,92
Ancud,CL,-41.87,-73.83,60.8,87,5.82,90
Busselton,AU,-33.64,115.35,54.0,63,12.33,0
Atuona,PF,-9.8,-139.03,82.74,99,13.67,76
New Norfolk,AU,-42.78,147.06,57.99,47,10.29,20
La Rioja,AR,-29.41,-66.86,65.91,75,3.38,0
Yellowknife,CA,62.45,-114.38,30.99,86,10.29,90
Lukovetskiy,RU,64.29,41.92,32.0,67,6.71,20
Ponta do Sol,PT,32.67,-17.1,59.0,72,4.7,20
Tuktoyaktuk,CA,69.44,-133.03,8.6,84,10.29,75
Hithadhoo,MV,-0.6,73.08,84.72,100,4.72,88
Viedma,AR,-40.81,-62.99,67.26,51,8.52,0
Dicabisagan,PH,17.08,122.42,77.07,100,3.94,68
Vaini,TO,-21.2,-175.2,78.8,94,4.7,75
Roald,NO,62.58,6.12,37.4,55,20.8,0
Arauca,CO,5.11,-75.7,75.2,88,0.92,75
Tondano,ID,1.3,124.91,78.8,88,2.24,20
Constitucion,MX,23.99,-104.67,75.2,10,3.36,5
Ushuaia,AR,-54.81,-68.31,39.2,80,13.87,75
Sur,OM,22.57,59.53,82.47,78,7.63,20
Ponta do Sol,CV,17.2,-25.09,69.8,73,19.46,20
San Cristobal,EC,-1.02,-79.44,63.84,100,2.37,88
Beringovskiy,RU,63.05,179.32,11.91,98,26.08,64
Butaritari,KI,3.07,172.79,82.02,100,14.23,80
Jamestown,SH,-15.94,-5.72,75.36,100,16.8,80
Dutlwe,BW,-23.98,23.93,60.6,95,1.36,68
Luwuk,ID,-0.95,122.79,82.56,92,1.36,0
Alofi,NU,-19.06,-169.92,86.0,74,9.17,8
Marsh Harbour,BS,26.54,-77.06,76.62,100,12.33,0
Puerto Ayora,EC,-0.74,-90.35,84.2,70,14.99,20
Tiksi,RU,71.64,128.87,27.12,73,12.44,64
Mount Gambier,AU,-37.83,140.78,60.87,74,8.75,88
Puerto Penasco,MX,31.32,-113.53,75.0,66,7.0,0
Viransehir,TR,37.24,39.76,53.04,96,3.71,68
Jatiroto,ID,-7.61,109.46,80.76,100,4.38,80
Sao Joao da Barra,BR,-21.64,-41.05,80.6,78,11.41,0
Keetmanshoop,NA,-26.57,18.15,66.2,56,5.73,0
Carnarvon,AU,-24.87,113.63,73.4,73,12.75,0
Pidhorodna,UA,48.11,30.89,46.47,59,8.08,64
Gunupur,IN,19.07,83.81,67.44,74,2.59,36
Poum,NC,-20.23,164.02,78.96,100,16.8,8
Albany,AU,-35.02,117.88,58.17,76,5.17,56
Mecca,SA,21.43,39.83,69.51,66,2.59,0
Sinnamary,GF,5.38,-52.96,80.22,93,12.66,92
Nanortalik,GL,60.14,-45.24,29.01,95,3.38,56
Amapa,BR,-1.83,-56.23,79.23,88,2.48,32
Punta Arenas,CL,-53.16,-70.91,44.6,70,8.05,75
Yumen,CN,40.29,97.04,40.44,69,14.79,88
Narragansett,US,41.45,-71.45,55.99,66,9.17,1
Buraydah,SA,26.33,43.97,66.2,72,2.24,20
Lebu,CL,-37.62,-73.65,55.47,99,12.21,20
Moron,MN,47.38,110.32,24.51,41,4.05,44
Coos Bay,US,43.37,-124.22,60.01,100,14.99,90
Hilo,US,19.71,-155.08,82.0,61,11.41,20
Kapaa,US,22.08,-159.32,80.6,61,11.41,1
Rocha,UY,-34.48,-54.34,55.2,82,4.72,0
Bar Harbor,US,44.39,-68.2,48.0,70,6.93,1
Dongsheng,CN,29.72,112.52,72.57,81,11.77,0
Fomboni,KM,-12.28,43.74,84.45,100,11.1,0
Dingle,IE,52.14,-10.27,48.27,97,14.0,0
Khatanga,RU,71.98,102.47,3.72,62,3.71,8
Victoria,SC,-4.62,55.45,80.6,88,6.93,68
Bluff,NZ,-46.6,168.33,62.01,62,6.96,0
Namibe,AO,-15.19,12.15,76.44,100,4.83,0
Comodoro Rivadavia,AR,-45.87,-67.48,57.2,71,8.05,0
Bhaderwah,IN,32.98,75.72,44.76,89,1.7,92
Dakar,SN,14.69,-17.45,73.4,46,20.8,0
Tiznit,MA,29.7,-9.73,58.71,93,4.38,48
Ribeira Grande,PT,38.52,-28.7,59.43,98,16.91,76
Mahebourg,MU,-20.41,57.7,80.6,78,14.99,40
Swellendam,ZA,-34.02,20.44,64.4,88,3.6,0
Pangnirtung,CA,66.15,-65.72,20.37,93,4.16,80
Hobart,AU,-42.88,147.33,57.99,47,10.29,20
Sobolevo,RU,54.43,31.9,43.41,95,7.74,92
Saint-Philippe,RE,-21.36,55.77,77.0,73,8.05,0
College,US,64.86,-147.8,55.0,32,4.7,1
Butterworth,ZA,-32.33,28.14,58.8,99,3.38,36
Sao Filipe,CV,14.9,-24.5,71.58,95,15.9,0
Colares,PT,38.8,-9.45,57.99,100,11.41,75
Kodiak,US,39.95,-94.76,71.01,68,17.22,1
Camacha,PT,33.08,-16.33,62.6,67,10.29,20
Nikolskoye,RU,59.7,30.79,41.0,65,8.95,20
Lavrentiya,RU,65.58,-170.99,15.24,100,37.38,0
Thibodaux,US,29.8,-90.82,78.8,78,18.34,75
Barrow,US,39.51,-90.4,80.6,50,11.41,40
Mattru,SL,7.62,-11.83,79.32,82,4.83,80
Kruisfontein,ZA,-34.0,24.73,64.74,79,13.11,44
Arraial do Cabo,BR,-22.97,-42.02,81.84,81,21.05,0
Qaanaaq,GL,77.48,-69.36,22.08,85,13.0,80
Broome,AU,-17.97,122.23,82.4,83,3.36,12
Grand Gaube,MU,-20.01,57.66,80.6,78,14.99,40
Kota Belud,MY,6.35,116.43,81.0,83,4.7,75
Dunkwa,GH,5.97,-1.78,72.66,97,6.4,88
Severo-Kurilsk,RU,50.68,156.12,32.88,94,25.75,92
Norman Wells,CA,65.28,-126.83,30.2,68,8.05,90
Altay,CN,47.83,88.13,17.76,65,4.05,12
Goundam,ML,16.42,-3.66,73.11,30,9.64,0
Santa Marta,CO,11.24,-74.21,89.6,52,16.11,40
Kurilsk,RU,45.23,147.88,30.36,97,14.23,88
Muroto,JP,33.37,134.14,62.6,45,10.29,20
Muisne,EC,0.61,-80.02,80.6,78,6.93,0
Anuchino,RU,43.97,133.06,38.28,64,3.15,36
Port Elizabeth,ZA,-33.92,25.57,66.2,88,12.75,0
Provideniya,RU,64.42,-173.23,19.4,62,17.9,20
Olinda,BR,-22.82,-43.41,86.0,70,3.36,40
Te Anau,NZ,-45.41,167.72,58.62,52,4.27,20
Sanchursk,RU,56.94,47.25,31.53,91,11.21,0
Cherskiy,RU,68.75,161.3,21.0,75,2.48,0
Kaitangata,NZ,-46.28,169.85,60.01,54,4.0,0
Natal,BR,-5.81,-35.21,82.4,78,6.93,20
Avarua,CK,-21.21,-159.78,84.2,70,14.99,0
Tura,RU,64.27,100.22,20.46,77,4.16,76
Chinsali,ZM,-10.55,32.07,65.82,82,8.63,12
Chokurdakh,RU,70.62,147.9,15.69,100,4.38,24
Shasta Lake,US,40.68,-122.36,66.99,93,6.93,40
Mitsukaido,JP,36.02,139.98,48.99,70,9.17,75
Namatanai,PG,-3.66,152.44,80.76,100,9.64,76
Logumkloster,DK,55.06,8.96,46.4,75,6.93,0
Kaduy,RU,59.2,37.15,21.54,69,3.71,0
Beidao,CN,34.57,105.89,53.67,67,1.7,32
Hobyo,SO,5.35,48.53,76.53,91,7.96,0
Smithers,CA,54.78,-127.17,50.0,46,9.17,75
Oranjemund,NA,-28.55,16.43,60.96,95,0.69,92
Cap Malheureux,MU,-19.98,57.61,80.6,78,14.99,40
Dutse,NG,11.76,9.34,84.81,40,9.42,64
Luderitz,NA,-26.65,15.16,57.72,92,12.33,0
Kutum,SD,14.2,24.66,65.46,24,8.41,0
Clyde River,CA,70.47,-68.59,10.4,85,2.24,68
Camopi,GF,3.17,-52.33,74.91,95,2.48,64
Hermanus,ZA,-34.42,19.24,63.0,93,1.99,0
Chuy,UY,-33.69,-53.46,60.87,90,5.73,0
Nichinan,JP,31.65,131.31,66.2,59,9.17,20
Lhokseumawe,ID,5.18,97.15,81.12,100,5.73,48
San Andres,CO,8.22,-76.58,84.2,74,11.41,40
Lander,US,42.83,-108.73,63.0,60,33.33,1
Katsuura,JP,33.93,134.5,55.99,82,10.29,20
Meulaboh,ID,4.14,96.13,79.86,100,2.26,44
Bathsheba,BB,13.22,-59.52,77.0,78,17.22,40
Longyearbyen,SJ,78.22,15.64,5.0,92,4.7,20
Hamilton,BM,32.3,-64.78,69.8,83,4.7,75
Ternate,ID,0.8,127.4,82.2,100,3.71,20
La Ronge,CA,55.1,-105.3,26.6,92,9.17,90
Cidreira,BR,-30.17,-50.22,68.34,98,10.2,100
Prince Rupert,CA,54.32,-130.32,48.2,81,17.22,75
Litovko,RU,49.24,135.18,41.16,67,3.49,0
Maniitsoq,GL,65.42,-52.9,28.2,83,5.61,88
Castro,CL,-42.48,-73.76,60.8,87,5.82,90
Yenagoa,NG,4.92,6.26,79.14,84,6.29,32
Nome,US,30.04,-94.42,69.01,93,4.7,1
Kamina,CD,-8.74,25.0,71.13,90,3.71,64
Kuching,MY,1.56,110.34,78.8,94,2.24,75
Kavieng,PG,-2.57,150.8,80.04,100,5.06,76
Russell,NZ,-35.26,174.12,68.0,63,7.0,68
Conceicao da Barra,BR,-18.59,-39.73,82.29,86,10.2,0
Palembang,ID,-2.99,104.76,73.4,100,2.24,88
Pishin,PK,30.58,67.0,37.11,80,2.15,0
Honavar,IN,14.28,74.45,77.61,98,1.81,12
Grindavik,IS,63.84,-22.43,39.2,100,10.29,75
Luanda,AO,-8.83,13.24,78.8,88,4.7,75
Richards Bay,ZA,-28.77,32.06,66.63,97,3.15,68
